,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
[module title],,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Task Name,Duration,Start - Monday,Finish - Friday,Resource LDS,Resource Walbrook,% Complete,,09/15/2025,09/22/2025,09/29/2025,10/06/2025,10/13/2025,10/20/2025,10/27/2025,11/03/2025,11/10/2025,11/17/2025,11/24/2025,12/01/2025,12/08/2025,12/15/2025,12/22/2025,12/29/2025,01/05/2026,01/12/2026
,,09/15/2025,,,,0%,,,,,,,,,,,,,,,,,,,
Kick off meeting,5 days,09/15/2025,09/19/2025,,,0%,,,,,,,,,,,,,,,,,,,
Initiation meeting held,5 days,09/15/2025,09/19/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
Kick off meeting held,5 days,09/15/2025,09/19/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
Module Planning Document,10 days,09/22/2025,10/03/2025,,,0%,,,,,,,,,,,,,,,,,,,
MPD Draft,5 days,09/22/2025,09/26/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
MPD Finalised,5 days,09/29/2025,10/03/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
Assessment briefs drafted and passed to Programme Leader,5 days,09/29/2025,10/03/2025,Learning Designer,"SME, Programme Leader",0%,,,,,,,,,,,,,,,,,,,
Reading list revised (if required),5 days,09/29/2025,10/03/2025,Learning Designer,"SME, Librarian",0%,,,,,,,,,,,,,,,,,,,
MPD review,5 days,10/06/2025,10/11/2025,,Academic Reviewer ,0%,,,,,,,,,,,,,,,,,,,
Week 1,10 days,10/06/2025,10/17/2025,,,0%,,,,,,,,,,,,,,,,,,,
   Week 1 - Storyboard Initial LD Draft ,5 days,10/06/2025,10/10/2025,Learning Designer,,0%,,,,,,,,,,,,,,,,,,,
   Week 1 - Storyboard SME Scripts Draft ,5 days,10/06/2025,10/10/2025,,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 1 - Edit ,3 days,10/13/2025,10/15/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 1 - Storyboard Final draft agreed,2 days,10/16/2025,10/17/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
Week 1 - Build ,5 days,10/20/2025,10/25/2025,Learning Technologist,,0%,,,,,,,,,,,,,,,,,,,
Week 2,5 days,10/20/2025,10/24/2025,,,0%,,,,,,,,,,,,,,,,,,,
   Week 2 - Storyboard Initial LD Draft ,2 days,10/20/2025,10/21/2025,Learning Designer,,0%,,,,,,,,,,,,,,,,,,,
   Week 2 - Storyboard SME Scripts Draft ,2 days,10/20/2025,10/21/2025,,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 2 - Edit ,2 days,10/22/2025,10/23/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 2 - Storyboard Final draft agreed,1 days,10/24/2025,10/24/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
Week 2 - Build ,5 days,10/27/2025,11/01/2025,Learning Technologist,,0%,,,,,,,,,,,,,,,,,,,
Week 1 and 2 review,5 days,11/03/2025,11/08/2025,,Academic Reviewer,0%,,,,,,,,,,,,,,,,,,,
Week 3,5 days,10/27/2025,10/31/2025,,,0%,,,,,,,,,,,,,,,,,,,
   Week 3 - Storyboard Initial LD Draft ,2 days,10/27/2025,10/28/2025,Learning Designer,,0%,,,,,,,,,,,,,,,,,,,
   Week 3 - Storyboard SME Scripts Draft ,2 days,10/27/2025,10/28/2025,,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 3 - Edit ,2 days,10/29/2025,10/30/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 3 - Storyboard Final draft agreed,1 days,10/31/2025,10/31/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
Week 3 - Build ,5 days,11/03/2025,11/08/2025,Learning Technologist,,0%,,,,,,,,,,,,,,,,,,,
Week 4,5 days,11/03/2025,11/07/2025,,,0%,,,,,,,,,,,,,,,,,,,
   Week 4 - Storyboard Initial LD Draft ,2 days,11/03/2025,11/04/2025,Learning Designer,,0%,,,,,,,,,,,,,,,,,,,
   Week 4 - Storyboard SME Scripts Draft ,2 days,11/03/2025,11/04/2025,,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 4 - Edit ,2 days,11/05/2025,11/06/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 4 - Storyboard Final draft agreed,1 days,11/07/2025,11/07/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
Week 4 - Build ,5 days,11/10/2025,11/15/2025,Learning Technologist,,0%,,,,,,,,,,,,,,,,,,,
Film shoot - first batch,6 days,11/10/2025,11/15/2025,,Digital Learning Team,0%,,,,,,,,,,,,,,,,,,,
Week 5,5 days,11/10/2025,11/14/2025,,,0%,,,,,,,,,,,,,,,,,,,
   Week 5 - Storyboard Initial LD Draft ,2 days,11/10/2025,11/11/2025,Learning Designer,,0%,,,,,,,,,,,,,,,,,,,
   Week 5 - Storyboard SME Scripts Draft ,2 days,11/10/2025,11/11/2025,,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 5 - Edit ,2 days,11/12/2025,11/13/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 5 - Storyboard Final draft agreed,1 days,11/14/2025,11/14/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
Week 5 - Build ,5 days,11/17/2025,11/22/2025,Learning Technologist,,0%,,,,,,,,,,,,,,,,,,,
Week 6,5 days,11/17/2025,11/21/2025,,,0%,,,,,,,,,,,,,,,,,,,
   Week 6 - Storyboard Initial LD Draft ,2 days,11/17/2025,11/18/2025,Learning Designer,,0%,,,,,,,,,,,,,,,,,,,
   Week 6 - Storyboard SME Scripts Draft ,2 days,11/17/2025,11/18/2025,,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 6 - Edit ,2 days,11/19/2025,11/20/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 6 - Storyboard Final draft agreed,1 days,11/21/2025,11/21/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
Week 6 - Build ,5 days,11/24/2025,11/29/2025,Learning Technologist,,0%,,,,,,,,,,,,,,,,,,,
Week 7,5 days,11/24/2025,11/28/2025,,,0%,,,,,,,,,,,,,,,,,,,
   Week 7 - Storyboard Initial LD Draft ,2 days,11/24/2025,11/25/2025,Learning Designer,,0%,,,,,,,,,,,,,,,,,,,
   Week 7 - Storyboard SME Scripts Draft ,2 days,11/24/2025,11/25/2025,,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 7 - Edit ,2 days,11/26/2025,11/27/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 7 - Storyboard Final draft agreed,1 days,11/28/2025,11/28/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
Week 7 - Build ,5 days,12/01/2025,12/06/2025,Learning Technologist,,0%,,,,,,,,,,,,,,,,,,,
Week 8,5 days,12/01/2025,12/05/2025,,,0%,,,,,,,,,,,,,,,,,,,
   Week 8 - Storyboard Initial LD Draft ,2 days,12/01/2025,12/02/2025,Learning Designer,,0%,,,,,,,,,,,,,,,,,,,
   Week 8 - Storyboard SME Scripts Draft ,2 days,12/01/2025,12/02/2025,,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 8 - Edit ,2 days,12/03/2025,12/04/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
   Week 8 - Storyboard Final draft agreed,1 days,12/05/2025,12/05/2025,Learning Designer,SME ,0%,,,,,,,,,,,,,,,,,,,
Week 8 - Build ,5 days,12/08/2025,12/13/2025,Learning Technologist,,0%,,,,,,,,,,,,,,,,,,,
Finalisation,20 days,12/08/2025,01/02/2026,,,0%,,,,,,,,,,,,,,,,,,,
Film shoot - second batch,5 days,12/08/2025,12/12/2025,,Digital Learning Team,0%,,,,,,,,,,,,,,,,,,,
Proofreading ,5 days,12/15/2025,12/19/2025,,Editorial Team,0%,,,,,,,,,,,,,,,,,,,
Weeks 3 to 8 review,5 days,12/22/2025,12/26/2025,,Academic Reviewer,0%,,,,,,,,,,,,,,,,,,,
   Corrections,5 days,12/29/2025,01/02/2026,"Learning Designer/
Technologist",SME ,0%,,,,,,,,,,,,,,,,,,,
Ready for launch,1 day,01/05/2026,,,,0%,,,,,,,,,,,,,,,,,,,
Go live,,Mon 03/11/25,,,,,,,,,,,,,,,,,,,,,,,
